sku,week,channel,region,units_sold,stock_available,promotion_flag,price_unit,delivery_days,is_holiday_peak,week_number,month,year,is_holiday_week,is_summer,is_winter,sku_age,lifecycle_stage,lag_1,lag_2,rolling_mean_4,rolling_std_4,momentum,target_next_week,brand,segment,category,price_avg,promo_rate,stock_avg,deliveries,avg_temp,inflation_index,school_in_session,event_score,category_trend,price_index,promo_recency,rolling_promo_rate,cross_channel_demand_share
JU-021,2022-08-08,Discount,PL-Central,130,158.8,1,4.382,3.0,0,32,8,2022,0,1,0,4,Growth,122.0,99.0,132.25,27.121639576790578,23.0,81.0,JuBrand3,Juice-Seg3,Juice,4.382,0.6,158.8,5,15.859076731000016,161.26604472367552,0,0.0,1.0,0.8450965506263239,0.0,1.0,0.39274924471299094
JU-021,2022-08-15,Discount,PL-Central,81,149.8,0,7.614,4.0,0,33,8,2022,1,1,0,5,Growth,130.0,122.0,125.0,20.704266871026036,8.0,72.0,JuBrand3,Juice-Seg3,Juice,7.614,0.0,149.8,5,15.468454893714663,159.92352184556452,0,0.0,0.9138972809667674,1.4423258489805817,1.0,0.5,0.2956204379562044
JU-021,2022-08-22,Discount,PL-Central,72,151.5,0,4.1525,2.5,0,34,8,2022,0,1,0,6,Growth,81.0,130.0,108.0,22.28601953392903,-49.0,125.0,JuBrand3,Juice-Seg3,Juice,4.1525,0.0,151.5,4,17.48021189237284,161.1657553169966,0,0.0,0.9053373615307149,0.81460739758147,2.0,0.3333333333333333,0.24489795918367346
JU-021,2022-08-29,Discount,PL-Central,125,134.0,1,3.9399999999999995,3.1666666666666665,0,35,8,2022,0,1,0,7,Growth,72.0,81.0,101.25,28.998563182796943,-9.0,176.0,JuBrand3,Juice-Seg3,Juice,3.9399999999999995,0.3333333333333333,134.0,6,18.097589689074553,161.515282877076,0,0.0,0.9373111782477341,0.7504300567060125,0.0,0.5,0.3654970760233918
JU-021,2022-09-05,Discount,PL-Central,176,176.5,0,5.03,4.0,0,36,9,2022,0,0,0,8,Growth,125.0,72.0,102.0,29.74334659493895,53.0,172.0,JuBrand3,Juice-Seg3,Juice,5.03,0.0,176.5,6,16.128736341405958,161.66780023961707,1,0.0,1.017522658610272,1.0492200959525337,1.0,0.4,0.3972911963882618
JU-021,2022-09-12,Discount,PL-Central,172,153.42857142857142,0,5.337142857142857,3.5714285714285716,0,37,9,2022,0,0,0,9,Growth,176.0,125.0,113.5,47.668997612004944,51.0,100.0,JuBrand3,Juice-Seg3,Juice,5.337142857142857,0.0,153.42857142857142,7,16.86639882121379,160.73718381282094,1,0.0,1.0795568982880162,1.0309319442038438,2.0,0.3333333333333333,0.3739130434782609
JU-021,2022-09-19,Discount,PL-Central,100,128.83333333333334,0,5.375,4.5,0,38,9,2022,0,0,0,10,Growth,172.0,176.0,136.25,48.692059585384825,-4.0,172.0,JuBrand3,Juice-Seg3,Juice,5.375,0.0,128.83333333333334,6,18.09997843576699,161.42408275755014,1,0.0,1.0647388864911524,0.960928166510749,3.0,0.2857142857142857,0.30959752321981426
JU-021,2022-09-26,Discount,PL-Central,172,164.66666666666666,1,6.080000000000001,2.6666666666666665,0,39,9,2022,0,0,0,11,Growth,100.0,172.0,143.25,36.98085090061251,-72.0,101.0,JuBrand3,Juice-Seg3,Juice,6.080000000000001,0.3333333333333333,164.66666666666666,6,17.7039643510887,161.1791117608489,1,0.0,1.1042296072507554,1.0309642770949763,0.0,0.375,0.37636761487964987
JU-021,2022-10-03,Discount,PL-Central,101,130.0,0,4.154285714285714,3.4285714285714284,0,40,10,2022,0,0,0,12,Growth,172.0,100.0,155.0,36.71511950137164,72.0,114.0,JuBrand3,Juice-Seg3,Juice,4.154285714285714,0.0,130.0,7,17.77304857377896,161.33642838853694,1,0.0,1.1101040617656932,0.8156303173973294,1.0,0.25,0.26370757180156656
JU-021,2022-10-10,Discount,PL-Central,114,171.0,1,3.7725,2.75,0,41,10,2022,0,0,0,13,Mature,101.0,172.0,136.25,41.28256290493603,-71.0,139.0,JuBrand3,Juice-Seg3,Juice,3.7725,0.5,171.0,4,16.806333051550414,162.5137964772637,1,0.0,1.1036253776435048,0.8013951870374503,0.0,0.375,0.32947976878612717
