date,sku,brand,segment,category,channel,region,pack_type,price_unit,promotion_flag,delivery_days,stock_available,delivered_qty,units_sold
2022-01-21,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-Central,Multipack,2.38,0,1,141,128,9
2022-01-21,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-North,Single,1.55,1,3,0,129,0
2022-01-21,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-South,Carton,4.0,0,5,118,161,8
2022-01-21,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-Central,Single,5.16,0,2,81,114,7
2022-01-21,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-North,Single,7.66,0,4,148,204,12
2022-01-21,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-South,Carton,5.09,1,3,163,154,25
2022-01-21,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-North,Carton,8.58,0,2,140,156,7
2022-01-21,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-South,Carton,4.21,0,3,194,185,17
2022-01-22,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-Central,Carton,8.27,0,2,180,161,14
2022-01-22,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-North,Carton,5.66,0,5,117,192,5
2022-01-22,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-Central,Carton,2.6,1,5,294,249,38
2022-01-22,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-North,Multipack,3.86,0,3,191,198,12
2022-01-22,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-South,Multipack,6.9,0,3,267,281,22
2022-01-22,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-Central,Carton,5.34,0,1,160,140,11
2022-01-22,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-South,Single,2.93,0,5,181,158,17
2022-01-22,MI-026,MiBrand4,Milk-Seg2,Milk,Retail,PL-North,Carton,7.96,0,1,88,106,9
2022-01-22,MI-026,MiBrand4,Milk-Seg2,Milk,Retail,PL-South,Single,2.51,0,4,119,191,8
2022-01-22,MI-026,MiBrand4,Milk-Seg2,Milk,Discount,PL-North,Multipack,8.56,0,1,161,172,11
2022-01-22,MI-026,MiBrand4,Milk-Seg2,Milk,E-commerce,PL-Central,Single,5.66,0,2,168,183,10
2022-01-22,MI-026,MiBrand4,Milk-Seg2,Milk,E-commerce,PL-North,Carton,2.22,0,3,130,140,10
2022-01-23,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-Central,Carton,8.96,0,4,213,232,11
2022-01-23,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-North,Carton,7.3,0,5,131,167,5
2022-01-23,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-Central,Carton,3.21,0,5,165,140,14
2022-01-23,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-North,Carton,4.84,0,5,213,189,15
2022-01-23,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-South,Single,6.16,1,2,285,246,43
2022-01-23,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-Central,Single,6.98,0,1,153,161,10
2022-01-23,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-North,Carton,3.7,0,4,96,140,10
2022-01-23,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-South,Multipack,5.54,0,4,190,188,14
2022-01-23,MI-026,MiBrand4,Milk-Seg2,Milk,Retail,PL-Central,Single,2.32,0,3,130,139,9
2022-01-23,MI-026,MiBrand4,Milk-Seg2,Milk,Retail,PL-North,Multipack,2.57,0,2,132,151,9
2022-01-23,MI-026,MiBrand4,Milk-Seg2,Milk,Retail,PL-South,Multipack,4.71,0,3,254,219,16
2022-01-23,MI-026,MiBrand4,Milk-Seg2,Milk,Discount,PL-Central,Multipack,7.09,0,2,149,127,9
2022-01-23,MI-026,MiBrand4,Milk-Seg2,Milk,Discount,PL-North,Multipack,3.95,0,4,176,185,16
2022-01-23,MI-026,MiBrand4,Milk-Seg2,Milk,E-commerce,PL-North,Single,7.47,1,4,124,111,16
2022-01-24,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-Central,Carton,4.1,0,3,84,91,3
2022-01-24,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-North,Single,7.41,0,2,160,138,13
2022-01-24,MI-006,MiBrand1,Milk-Seg3,Milk,Retail,PL-South,Carton,5.31,0,1,174,217,11
2022-01-24,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-Central,Single,7.6,0,4,164,201,11
2022-01-24,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-North,Single,1.79,0,2,213,221,18
2022-01-24,MI-006,MiBrand1,Milk-Seg3,Milk,Discount,PL-South,Multipack,7.66,0,1,212,179,11
2022-01-24,MI-006,MiBrand1,Milk-Seg3,Milk,E-commerce,PL-Central,Multipack,6.81,0,3,133,188,9
